eV   W/mA     phot/mAs
        49.9999    1.13701E-11    1.41933E+06
        51.0000    1.32118E-11    1.61689E+06
        52.0001    1.52576E-11    1.83135E+06
        52.9999    1.74936E-11    2.06012E+06
        53.9998    1.99432E-11    2.30511E+06
        54.9999    2.26944E-11    2.57541E+06
        56.0001    2.59651E-11    2.89394E+06
        57.0001    2.96934E-11    3.25143E+06
        57.9999    3.40164E-11    3.66058E+06
        59.0001    3.88687E-11    4.11185E+06
        59.9999    4.40587E-11    4.58322E+06
        61.0001    4.99848E-11    5.11442E+06
        62.0000    5.59722E-11    5.63469E+06
        62.9999    6.17148E-11    6.11419E+06
        64.0000    6.70918E-11    6.54303E+06
        64.9999    7.20882E-11    6.92215E+06
        65.9997    7.69572E-11    7.27775E+06
        67.0002    8.18798E-11    7.62764E+06
        68.0000    8.70938E-11    7.99407E+06
        69.0000    9.29901E-11    8.41158E+06
        69.9996    9.94227E-11    8.86502E+06
        71.0000    1.03783E-10    9.12343E+06
        72.0000    1.06799E-10    9.25819E+06
        72.0000    2.95663E-11    2.56303E+06
        73.0001    3.33619E-11    2.85244E+06
        74.0000    3.75506E-11    3.16720E+06
        75.0002    4.23577E-11    3.52501E+06
        76.0000    4.79997E-11    3.94198E+06
        76.9999    5.44130E-11    4.41064E+06
        77.9997    6.16867E-11    4.93614E+06
        78.9999    6.96353E-11    5.50165E+06
        80.0000    7.81112E-11    6.09415E+06
        80.9999    8.72838E-11    6.72572E+06
        81.9997    9.73418E-11    7.40929E+06
        83.0004    1.07357E-10    8.07308E+06
        83.9999    1.13748E-10    8.45192E+06
        84.9999    1.26120E-10    9.26090E+06
        85.9998    1.42324E-10    1.03293E+07
        87.0001    1.58030E-10    1.13373E+07
        87.9999    1.70279E-10    1.20773E+07
        88.9999    1.89430E-10    1.32846E+07
        89.9999    2.07577E-10    1.43955E+07
        90.9993    2.25983E-10    1.54998E+07
        92.0004    2.42581E-10    1.64572E+07
        92.9998    2.59593E-10    1.74221E+07
        93.9996    2.76056E-10    1.83299E+07
        94.9997    2.91603E-10    1.91584E+07
        96.0007    3.05283E-10    1.98481E+07
        97.0002    3.18582E-10    2.04993E+07
        97.9999    3.28673E-10    2.09328E+07
        99.0004    8.08100E-10    5.09469E+07
        100.000    8.60514E-10    5.37090E+07
        101.000    9.31458E-10    5.75613E+07
        102.000    9.81532E-10    6.00611E+07
        103.001    1.03398E-09    6.26558E+07
        103.999    1.09435E-09    6.56774E+07
        104.999    1.15790E-09    6.88291E+07
        105.999    1.21776E-09    7.17050E+07
        107.001    1.28104E-09    7.47252E+07
        108.001    1.35007E-09    7.80226E+07
        109.000    1.42477E-09    8.15850E+07
        110.000    1.47767E-09    8.38446E+07
        110.000    4.00132E-10    2.27039E+07
        112.000    4.57441E-10    2.54923E+07
        114.000    5.25791E-10    2.87870E+07
        116.000    6.02352E-10    3.24102E+07
        118.000    6.72348E-10    3.55631E+07
        120.000    7.40353E-10    3.85076E+07
        122.000    8.07789E-10    4.13264E+07
        124.000    8.74720E-10    4.40287E+07
        126.000    9.34895E-10    4.63109E+07
        128.001    9.83715E-10    4.79674E+07
        129.999    1.01962E-09    4.89539E+07
        132.000    1.05465E-09    4.98681E+07
        134.000    1.08475E-09    5.05259E+07
        135.999    1.10877E-09    5.08858E+07
        138.000    1.12289E-09    5.07864E+07
        140.000    1.12394E-09    5.01077E+07
        142.000    1.13066E-09    4.96975E+07
        144.000    1.10653E-09    4.79615E+07
        146.000    1.05965E-09    4.53002E+07
        148.000    1.00443E-09    4.23590E+07
        150.001    9.47790E-10    3.94373E+07
        152.000    8.50460E-10    3.49220E+07
        153.999    8.04004E-10    3.25859E+07
        155.999    7.56995E-10    3.02872E+07
        158.002    6.83800E-10    2.70120E+07
        160.000    6.22051E-10    2.42659E+07
        161.999    5.62795E-10    2.16834E+07
        164.001    5.01406E-10    1.90824E+07
        165.999    4.47366E-10    1.68208E+07
        168.001    4.02793E-10    1.49645E+07
        169.999    3.67193E-10    1.34815E+07
        172.000    3.31977E-10    1.20467E+07
        174.002    3.12184E-10    1.11982E+07
        176.000    2.97438E-10    1.05481E+07
        177.999    2.81760E-10    9.87986E+06
        179.999    2.84138E-10    9.85255E+06
        180.000    2.65984E-10    9.22299E+06
        183.998    2.72346E-10    9.23844E+06
        188.002    2.66038E-10    8.83225E+06
        192.002    2.61238E-10    8.49223E+06
        195.998    2.65319E-10    8.44901E+06
        200.000    2.70322E-10    8.43609E+06
        204.000    2.75973E-10    8.44358E+06
        208.001    2.83199E-10    8.49801E+06
        212.001    2.89533E-10    8.52415E+06
        216.000    2.87465E-10    8.30658E+06
        220.000    2.87559E-10    8.15820E+06
        223.999    2.90167E-10    8.08520E+06
        228.000    2.94928E-10    8.07366E+06
        232.000    3.05407E-10    8.21639E+06
        236.001    3.20689E-10    8.48127E+06
        240.000    3.33538E-10    8.67410E+06
        243.999    3.43988E-10    8.79921E+06
        248.000    3.52267E-10    8.86562E+06
        251.996    3.53998E-10    8.76791E+06
        256.002    3.53754E-10    8.62477E+06
        259.997    3.55746E-10    8.54009E+06
        263.999    3.58698E-10    8.48043E+06
        268.001    3.57221E-10    8.31937E+06
        272.001    3.51351E-10    8.06234E+06
        276.003    3.46226E-10    7.82953E+06
        279.998    3.37334E-10    7.51960E+06
        309.999    4.71111E-11        948534.
        314.000    5.87323E-11    1.16745E+06
        318.000    6.15260E-11    1.20760E+06
        321.997    6.16649E-11    1.19530E+06
        326.001    6.58326E-11    1.26041E+06
        330.000    7.83417E-11    1.48173E+06
        333.998    9.42191E-11    1.76070E+06
        338.000    1.09360E-10    2.01945E+06
        342.000    1.20356E-10    2.19651E+06
        345.999    1.31759E-10    2.37682E+06
        350.000    1.44432E-10    2.57563E+06
        353.998    1.56636E-10    2.76173E+06
        358.000    1.69646E-10    2.95767E+06
        362.003    1.85138E-10    3.19207E+06
        366.004    2.06074E-10    3.51420E+06
